Track; CC; Mirror; nPlayers; Justus; Lukas
wp; 150; 1; 10; [7, -6, 0, 0]; [6, -4, 1, 1]
hc; 150; 0; 12; [6, 0, 1, 0]; [2, 14, 0, 1]
yv; 150; 0; 12; [1, 15, 0, 1]; [9, -16, 2, 0]
dkj; 150; 0; 11; [2, 11, 1, 0]; [7, -11, 1, 0]
mcgba; 150; 0; 12; [1, 9, 0, 0]; [3, 1, 1, 0]
pps; 150; 0; 10; [1, 9, 0, 0]; [3, -1, 0, 1]
dkj; 150; 0; 11; [5, 4, 2, 0]; [1, 19, 1, 1]
yv; 150; 1; 12; [2, 8, 0, 1]; [6, -7, 0, 1]
mw; 150; 0; 8; [3, 7, 0, 0]; [1, 17, 0, 0]
wp; 150; 0; 10; [6, 0, 1, 0]; [8, -12, 1, 0]
dp3; 150; 0; 12; [8, -7, 2, 0]; [3, 10, 0, 0]
wp; 200; 0; 12; [3, 11, 0, 0]; [6, -3, 1, 0]
mc; 150; 0; 11; [5, 1, 2, 0]; [1, 17, 1, 0]
bb; 200; 0; 12; [1, 19, 1, 0]; [4, 6, 2, 0]
royal; 150; 1; 12; [4, 8, 1, 0]; [8, -9, 1, 0]
dd; 150; 0; 12; [3, 11, 1, 0]; [2, 14, 0, 0]
ds; 150; 0; 10; [6, -5, 3, 0]; [1, 16, 0, 0]
bc; 150; 0; 12; [8, -10, 2, 0]; [1, 15, 0, 0]
bdd; 150; 0; 12; [2, 12, 1, 0]; [3, 7, 0, 1]
dp3; 150; 0; 11; [2, 14, 0, 0]; [1, 16, 1, 1]
ww; 150; 0; 11; [3, 9, 1, 0]; [2, 13, 0, 0]
yv; 150; 1; 11; [11, -20, 2, 0]; [3, 9, 1, 0]
iic; 150; 1; 9; [6, -10, 0, 0]; [2, 9, 1, 0]
dkj; 150; 0; 10; [3, 8, 2, 0]; [4, 2, 2, 0]
sgf; 150; 0; 12; [1, 15, 2, 1]; [3, 7, 2, 0]
wgm; 150; 0; 10; [2, 9, 1, 0]; [5, -5, 0, 0]
ccb; 150; 1; 12; [5, 5, 1, 0]; [1, 19, 0, 0]
tm; 150; 0; 11; [7, -6, 1, 0]; [5, 2, 4, 0]
ribbon; 150; 0; 10; [8, -12, 2, 0]; [2, 10, 2, 0]
mcgba; 150; 0; 12; [10, -11, 1, 0]; [9, -11, 1, 0]
sbs; 150; 0; 11; [1, 25, 1, 0]; [5, 4, 0, 0]
ww; 150; 0; 10; [4, 9, 1, 0]; [2, 16, 1, 1]
ttc; 150; 0; 11; [2, 17, 0, 0]; [1, 21, 0, 1]
bb; 150; 0; 11; [5, 5, 2, 0]; [4, 6, 0, 0]
ww; 150; 0; 11; [2, 16, 2, 0]; [5, 1, 2, 0]
bc; 150; 0; 10; [1, 17, 1, 0]; [6, -8, 3, 0]
mw; 150; 1; 12; [7, -3, 3, 0]; [3, 10, 0, 0]
yc; 150; 0; 12; [7, -3, 1, 0]; [4, 7, 0, 0]
ea; 150; 1; 12; [9, -6, 1, 0]; [10, -15, 1, 0]
ws; 150; 0; 9; [2, 21, 0, 0]; [5, 3, 0, 0]
wp; 150; 0; 12; [8, -4, 4, 0]; [2, 18, 0, 0]
rrn64; 150; 0; 11; [3, 12, 0, 0]; [6, -2, 0, 0]
dkj; 150; 0; 12; [7, 0, 1, 0]; [2, 19, 0, 1]
th; 150; 0; 12; [10, -9, 2, 0]; [3, 15, 1, 0]
sbs; 150; 0; 12; [7, 0, 3, 0]; [4, 10, 1, 0]
rr; 150; 0; 12; [8, -3, 1, 0]; [9, -10, 2, 0]
pps; 150; 0; 11; [10, -10, 1, 0]; [6, 3, 1, 0]
bb; 150; 0; 12; [4, 15, 0, 0]; [2, 23, 0, 0]
mc; 150; 1; 12; [7, 5, 1, 0]; [10, -9, 2, 0]
rr; 150; 0; 12; [8, 1, 1, 0]; [10, -10, 0, 0]
yc; 150; 0; 12; [5, 11, 1, 0]; [12, -18, 1, 1]
cl; 200; 0; 12; [11, -11, 1, 0]; [7, 1, 2, 0]
ds; 150; 0; 11; [8, -1, 0, 0]; [7, 1, 0, 0]
tr; 150; 0; 12; [6, 8, 0, 0]; [4, 15, 0, 0]
pps; 150; 0; 12; [6, 4, 2, 0]; [9, -11, 1, 0]
sgf; 150; 0; 12; [3, 17, 0, 0]; [10, -14, 1, 0]
rrn64; 150; 0; 12; [11, -13, 0, 0]; [10, -12, 1, 0]
sl; 150; 0; 12; [11, -14, 2, 0]; [7, -1, 1, 0]
nbc; 150; 0; 12; [6, 6, 1, 0]; [3, 16, 0, 0]
